PairdID,Ecosystem,SourceUUTMethodName,SourceUUTStart,SourceUUTEnd,TargetMethodName,TargetMethodStart,TargetMethodEnd,SourceMatchedPercent,SourceUnMatchedPercent,TargetMatchedPercent,TargetUnMatchedPercent,SourceMatchingGroup,Rating1,Rating2,Rating,Rater1CloneType,Rater2CloneType,Rater1AcceptStatus,Rater2AcceptStatus,,Rating,,"14, 21, 55, 59, 64, 68, 94, 96, 97, 122, 134, 137, 142, 152, 163, 164, 174, 177, 178, 211, 222, 230, 238, 249, 273, 275, 284, 285, 311, 314, 315, 322"
141,tomakehurst/wiremock,match,106,179,aggregateWeighted,66,87,20.12,79.88,84.81,15.19,20-29,0,0,0,3,0,Accept,,,,,
142,tomakehurst/wiremock,match,117,190,match,48,66,16.51,83.49,86.89,13.11,10-19,0,0,0,3,3,Accept,Accept,,1,,
143,antlr/antlr3,visit,254,258,visit,59,62,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
144,antlr/antlr3,visit,254,258,visit,59,62,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
145,SonarSource/sonar-scanner-api,loadClass,70,103,loadClass,57,91,100,0,98.37,1.63,100,4,0,2,3,0,Accept,,,,,
146,SonarSource/sonar-scanner-api,addFiles,44,54,addFiles,45,55,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
147,SonarSource/sonar-scanner-api,loadClass,57,91,loadClass,70,103,98.37,1.63,100,0,90-100,4,0,2,3,0,Accept,,,,,
148,apache/deltaspike,getFirstEntityManager,63,68,getFirstEntityManager,63,68,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
149,apache/deltaspike,getFirstEntityManager,63,68,getFirstEntityManager,63,68,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
150,DigitalPebble/storm-crawler,getMockedTopologyContext,42,56,getMockedTopologyContext,41,55,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
151,DigitalPebble/storm-crawler,getMockedTopologyContext,42,56,getMockedTopologyContext,37,51,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
152,galenframework/galen,getText,88,92,getText,88,92,100,0,100,0,100,4,4,4,1,1,Accept,Accept,,1,,
153,galenframework/galen,getType,80,84,getType,80,84,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
154,dropwizard/dropwizard,getPort,250,255,getPort,75,80,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
155,dropwizard/dropwizard,getAdminPort,224,228,getAdminPort,182,186,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
156,dropwizard/dropwizard,build,153,180,build,100,139,95.3,4.7,79.35,20.65,90-100,0,0,0,3,0,Accept,,,,,
157,dropwizard/dropwizard,getKeyStorePath,322,328,getKeyStorePath,285,290,83.33,16.67,100,0,80-89,4,0,2,1,0,Accept,,,,,
158,dropwizard/dropwizard,build,100,139,build,153,180,79.35,20.65,95.3,4.7,70-79,0,0,0,3,0,Accept,,,,,
159,dropwizard/dropwizard,build,186,207,appender,282,293,48.63,51.37,100,0,40-49,0,0,0,3,0,Accept,,,,,
160,secure-software-engineering/soot-infoflow,setSootConfig,166,170,setSootConfig,306,311,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
161,secure-software-engineering/soot-infoflow,getUseRecursiveAccessPaths,230,234,getUseRecursiveAccessPaths,889,893,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
162,secure-software-engineering/soot-infoflow,isPathBetweenMethods,222,238,isPathBetweenMethods,287,303,87.88,12.12,93.55,6.45,80-89,4,0,2,2,0,Accept,,,,,
163,matyb/java-koans,toString,108,113,toString,20,31,100,0,100,0,100,0,0,0,4,3,Reject,Accept,,1,,
164,matyb/java-koans,toString,108,113,toString,20,31,100,0,100,0,100,0,0,0,4,3,Reject,Accept,,1,,
165,dcm4che/dcm4che,endElement,268,313,startElement,95,171,100,0,100,0,100,0,0,0,0,0,,,,,,
166,dcm4che/dcm4che,endElement,268,313,startElement,95,171,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
167,scobal/seyren,getError,34,39,getError,119,124,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
168,scobal/seyren,getWarn,19,24,getWarn,104,109,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
169,arquillian/arquillian-container-tomcat,setBindAddress,85,90,setBindAddress,90,95,94.12,5.88,100,0,90-100,4,0,2,2,0,Accept,,,,,
